2003-2012 CH4  budget per category - ALL studies;;;;;
                          proc;stats;Fossil;Agriwast;BioBurBiof;OtherNat
Coal; mean;41;;;
Coal;  min;26;;;
Coal;  max;50;;;
GasAndOilIndustry; mean;79;;;
GasAndOilIndustry;  min;69;;;
GasAndOilIndustry;  max;88;;;
EntericFermentationAndManure; mean;;106;;
EntericFermentationAndManure;  min;;97;;
EntericFermentationAndManure;  max;;111;;
LandfillsAndWaste; mean;;59;;
LandfillsAndWaste;  min;;52;;
LandfillsAndWaste;  max;;63;;
Rice; mean;;30;;
Rice;  min;;24;;
Rice;  max;;36;;
BiomassBurning; mean;;;18;
BiomassBurning;  min;;;15;
BiomassBurning;  max;;;21;
BiofuelBurning; mean;;;12;
BiofuelBurning;  min;;;10;
BiofuelBurning;  max;;;14;
Freshwater; mean;;;;122
Freshwater;  min;;;;60
Freshwater;  max;;;;180
GeologicalSources; mean;;;;52
GeologicalSources;  min;;;;-999
GeologicalSources;  max;;;;-1000
WildAnimals; mean;;;;10
WildAnimals;  min;;;;5
WildAnimals;  max;;;;15
Termites; mean;;;;9
Termites;  min;;;;3
Termites;  max;;;;15
PermafrostAndHydrates; mean;;;;3
PermafrostAndHydrates;  min;;;;-888
PermafrostAndHydrates;  max;;;;-889
Wildfires; mean;;;;3
Wildfires;  min;;;;1
Wildfires;  max;;;;5
